Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
United States of America,270000,25,Senior,3,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,45-54 
United States of America,250000,35,Senior,8,Remote,Software Development,10000+,Large,Employed,Developer,Masters,35-44
Czech Republic,43810,14,Mid,3,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Hungary,80966,23,Senior,8,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Data/AI,Professional,45-54 
Malaysia,28275,9,Mid,5,Hybrid-Flexible,Manufacturing,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,142949,21,Senior,7,Remote,Fintech,20 - 99 ,Small,Employed,Senior executive,Bachelors,35-44
Switzerland,117793,12,Mid,8,Hybrid-Flexible,Higher Education,1000 - 4999,Medium,Employed,Research,Masters,25-34 
Germany,75410,19,Senior,6,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Masters,35-44
Netherlands,81210,18,Senior,9,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Egypt,63909,25,Senior,10,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,35-44
United States of America,151000,8,Mid,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Austria,46406,10,Mid,9,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Masters,18-24
Poland,62767,12,Mid,8,Flexible,Software Development,10000+,Large,Employed,Other,Some college,18-24
United Kingdom of Great Britain and Northern Ireland,151117,25,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Spain,67289,20,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
United States of America,245000,41,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Serbia,14850,5,Mid,7,Flexible,Software Development,<20,Small,Student,Developer,Some college,18-24
Japan,3,4,Mid,3,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Sweden,75472,12,Mid,7,Hybrid-InPerson,Telecomm  Services,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,150000,16,Senior,8,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,115720,45,Senior,8,Hybrid-Flexible,Fintech,<20,Small,Employed,Manager,Masters,55-64
Canada,72958,17,Senior,8,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
United Arab Emirates,13615,12,Mid,7,Remote,Other,20 - 99 ,Small,Employed,Developer,Masters,35-44
United States of America,116000,25,Senior,10,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Belgium,87011,15,Mid,10,Hybrid-Flexible,Computer System Services,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,90000,22,Senior,9,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,35-44
Brazil,36407,15,Mid,10,Hybrid-Flexible,Fintech,<20,Small,Employed,Architect,Masters,25-34 
Italy,139218,20,Senior,7,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Masters,35-44
Spain,25523,8,Mid,7,In-person,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Argentina,13649,8,Mid,9,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
India,1,6,Mid,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,81685,10,Mid,6,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
Belgium,167061,42,Senior,8,Remote,Manufacturing,1000 - 4999,Medium,Employed,Developer,Professional,45-54 
Bangladesh,8509,11,Mid,2,In-person,Other,1000 - 4999,Medium,Employed,Developer,Some college,25-34 
Germany,145018,41,Senior,10,Flexible,Other,<20,Small,Employed,Developer,Secondary school ,45-54 
United States of America,155000,27,Senior,6,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,45-54 
Canada,80254,20,Senior,9,Remote,Healthcare,<20,Small,Employed,Developer,Bachelors,35-44
Italy,83531,22,Senior,8,Remote,Software Development,100 - 499,Medium,Employed,Developer,Secondary school ,35-44
Canada,109438,15,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Norway,87561,24,Senior,7,Hybrid-InPerson,Government,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United States of America,75000,30,Senior,5,Remote,Higher Education,<20,Small,Self-employed,Developer,Bachelors,55-64
United States of America,131000,10,Mid,8,Hybrid-Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,120000,16,Senior,2,Hybrid-Flexible,Banking Services,<20,Small,Employed,Developer,Bachelors,25-34 
Egypt,2157,2,Junior,1,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,18-24
Spain,41765,10,Mid,8,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Data/AI,Masters,25-34 
United States of America,45000,45,Senior,10,Flexible,Banking Services,1,Small,Self-employed,Developer,Masters,65+
Canada,65663,27,Senior,2,Remote,Manufacturing,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Canada,113085,16,Senior,8,Remote,Telecomm  Services,100 - 499,Medium,Employed,Developer,Secondary school ,35-44
Switzerland,94235,13,Mid,4,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Spain,440856,7,Mid,8,Remote,Software Development,<20,Small,Employed,Developer,Some college,25-34 
United States of America,295000,24,Senior,5,Remote,Software Development,10000+,Large,Employed,Data/AI,Bachelors,35-44
Netherlands,113694,18,Senior,7,Hybrid-Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,80000,9,Mid,4,In-person,Government,100 - 499,Medium,Employed,Developer,Bachelors,18-24
United States of America,350000,28,Senior,10,Remote,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Italy,39445,6,Mid,7,Remote,Higher Education,100 - 499,Medium,Employed,Developer,Some college,18-24
India,20109,10,Mid,9,Hybrid-Flexible,Supply Chain,10000+,Large,Employed,Developer,Bachelors,25-34 
Hungary,43375,10,Mid,9,Flexible,Software Development,<20,Small,Self-employed,Developer,Associate,18-24
Republic of Moldova,4873,26,Senior,6,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
United States of America,87000,3,Mid,10,Hybrid-Flexible,Healthcare,500 - 999,Medium,Employed,Developer,Some college,25-34 
Norway,66017,8,Mid,8,Flexible,Computer System Services,5000 - 9999,Large,Employed,Data/AI,Masters,25-34 
France,27844,8,Mid,9,In-person,Telecomm  Services,1000 - 4999,Medium,Employed,Developer,Masters,18-24
Germany,83531,10,Mid,7,Hybrid-Flexible,Manufacturing,10000+,Large,Employed,Developer,Professional,35-44
Switzerland,114981,9,Mid,8,Flexible,Government,1000 - 4999,Medium,Employed,Developer,Some college,25-34 
United States of America,150000,45,Senior,8,Hybrid-InPerson,Manufacturing,100 - 499,Medium,Employed,Developer,Bachelors,55-64
United States of America,200000,15,Mid,5,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
France,69609,40,Senior,9,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,45-54 
Italy,31324,12,Mid,9,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Some college,25-34 
Germany,75410,17,Senior,5,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Sri Lanka,19983,8,Mid,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,165000,20,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Portugal,44086,32,Senior,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
United Kingdom of Great Britain and Northern Ireland,120485,14,Mid,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Norway,98842,11,Mid,8,Remote,Other,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Italy,46406,39,Senior,7,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Secondary school ,55-64
Germany,116015,16,Senior,8,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Masters,35-44
Belgium,148499,15,Mid,7,Remote,Software Development,1000 - 4999,Medium,Employed,Senior executive,Bachelors,35-44
Greece,17402,9,Mid,3,Flexible,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
Canada,72958,15,Mid,7,Hybrid-Flexible,Healthcare,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Sweden,11530,26,Senior,10,Flexible,Software Development,<20,Small,Employed,Developer,Primary school,45-54 
Canada,94846,40,Senior,6,Remote,Software Development,5000 - 9999,Large,Employed,Manager,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,49011,28,Senior,7,Flexible,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
Germany,58007,36,Senior,10,In-person,Software Development,<20,Small,Employed,Developer,Masters,35-44
Netherlands,8121,6,Mid,7,Flexible,Software Development,1000 - 4999,Medium,Student,Other,Bachelors,18-24
Canada,102142,20,Senior,7,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Professional,45-54 
Philippines,3371,16,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,129334,33,Senior,6,Remote,Fintech,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Portugal,63808,30,Senior,9,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
United States of America,190000,33,Senior,8,Remote,Government,500 - 999,Medium,Employed,Developer,Bachelors,45-54 
China,8357,17,Senior,5,Remote,Media Services,1,Small,Self-employed,Developer,Secondary school ,25-34 
Spain,34804,10,Mid,8,Flexible,Software Development,<20,Small,Employed,Data/AI,Masters,25-34 
United States of America,155000,25,Senior,9,Remote,Fintech,<20,Small,Employed,Developer,Some college,35-44
Austria,38981,5,Mid,7,Hybrid-InPerson,Higher Education,100 - 499,Medium,Employed,Research,Secondary school ,18-24
Brazil,41765,7,Mid,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
Germany,116015,16,Senior,9,Remote,Retail Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,152,8,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Ukraine,22456,12,Mid,7,Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,18-24
United States of America,70000,9,Mid,6,In-person,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
United States of America,140000,25,Senior,7,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Masters,35-44
Argentina,78000,18,Senior,8,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Professional,25-34 
Ukraine,1208,7,Mid,10,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Germany,63808,13,Mid,2,Hybrid-Flexible,Insurance,5000 - 9999,Large,Employed,Developer,Bachelors,18-24
Switzerland,210788,33,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Some college,35-44
Canada,248250,22,Senior,8,Remote,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Portugal,18562,11,Mid,7,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Argentina,39923,8,Mid,7,Remote,Banking Services,10000+,Large,Employed,Developer,Some college,25-34 
Netherlands,220428,30,Senior,9,Hybrid-InPerson,Software Development,1,Small,Self-employed,Developer,Some college,45-54 
United States of America,200000,22,Senior,9,Remote,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Hungary,202416,32,Senior,10,Remote,Telecomm  Services,<20,Small,Employed,Developer,Bachelors,35-44
Germany,69609,30,Senior,1,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
United States of America,165000,20,Senior,8,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,97682,16,Senior,8,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Colombia,140000,16,Senior,9,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,135000,10,Mid,5,Remote,Software Development,10000+,Large,Employed,Architect,Bachelors,35-44
Israel,58828,25,Senior,8,Flexible,Higher Education,5000 - 9999,Large,Employed,Research,Professional,35-44
Germany,104413,15,Mid,8,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
Germany,107894,20,Senior,5,Hybrid-InPerson,Retail Services,500 - 999,Medium,Employed,Developer,Masters,35-44
Ireland,92812,33,Senior,8,Hybrid-InPerson,Software Development,500 - 999,Medium,Employed,Developer,Masters,45-54 
United States of America,80000,24,Senior,9,Remote,Other,1000 - 4999,Medium,Employed,Developer,Secondary school ,55-64
United States of America,60000,10,Mid,6,In-person,Manufacturing,100 - 499,Medium,Employed,Data/AI,Some college,25-34 
Netherlands,51274,18,Senior,10,Flexible,Government,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Canada,145917,10,Mid,10,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Manager,Bachelors,25-34 
United States of America,162000,28,Senior,3,Remote,Retail Services,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
Sweden,83857,18,Senior,6,Hybrid-InPerson,Healthcare,100 - 499,Medium,Employed,Architect,Professional,45-54 
Morocco,12533,4,Mid,7,Remote,Manufacturing,10000+,Large,Employed,Developer,Masters,18-24
India,79043,13,Mid,6,Hybrid-Flexible,Supply Chain,500 - 999,Medium,Employed,Developer,Masters,35-44
Spain,63808,12,Mid,4,Remote,Software Development,100 - 499,Medium,Not employed,Developer,Bachelors,35-44
United States of America,150000,40,Senior,5,Remote,Energy,100 - 499,Medium,Employed,Developer,Bachelors,55-64
United States of America,135000,15,Mid,10,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Some college,35-44
France,52207,20,Senior,7,Remote,Computer System Services,<20,Small,Employed,Developer,Masters,35-44
Poland,109160,20,Senior,8,Flexible,Fintech,1000 - 4999,Medium,Self-employed,Developer,Masters,25-34 
Mexico,12633,6,Mid,8,In-person,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,106190,25,Senior,7,Hybrid-Flexible,Other,1000 - 4999,Medium,Employed,Architect,Bachelors,35-44
Turkey,3,10,Mid,7,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,76512,22,Senior,2,Hybrid-Flexible,Banking Services,1000 - 4999,Medium,Employed,Developer,Masters,35-44
France,23203,5,Mid,7,Hybrid-InPerson,Retail Services,1000 - 4999,Medium,Employed,Developer,Professional,35-44
United Kingdom of Great Britain and Northern Ireland,81685,14,Mid,7,Hybrid-InPerson,Fintech,500 - 999,Medium,Employed,Developer,Some college,18-24
United States of America,106000,12,Mid,4,In-person,Healthcare,100 - 499,Medium,Employed,Developer,Bachelors,18-24
United States of America,100000,9,Mid,7,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Spain,20883,44,Senior,5,Hybrid-Flexible,Healthcare,<20,Small,Employed,Developer,Primary school,45-54 
United States of America,250000,26,Senior,9,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,45-54 
United Kingdom of Great Britain and Northern Ireland,74878,31,Senior,7,Hybrid-Flexible,Computer System Services,500 - 999,Medium,Employed,Developer,Bachelors,45-54 
United States of America,210000,25,Senior,10,Hybrid-Flexible,Software Development,<20,Small,Employed,Developer,Some college,45-54 
Brazil,24211,20,Senior,9,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Masters,35-44
Spain,127616,22,Senior,10,Remote,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Sweden,84277,35,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,45-54 
United States of America,175000,40,Senior,7,In-person,Software Development,100 - 499,Medium,Employed,Architect,Masters,55-64
Greece,52207,25,Senior,7,Remote,Supply Chain,<20,Small,Employed,Developer,Bachelors,35-44
United States of America,250000,35,Senior,9,Remote,Insurance,20 - 99 ,Small,Employed,Manager,Bachelors,45-54 
Ireland,116015,16,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Netherlands,63808,11,Mid,7,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,100000,20,Senior,10,Remote,Fintech,10000+,Large,Employed,Developer,Secondary school ,25-34 
Canada,109438,31,Senior,6,Hybrid-InPerson,Software Development,<20,Small,Employed,Senior executive,Some college,35-44
Italy,34804,30,Senior,4,Flexible,Software Development,<20,Small,Employed,Developer,Some college,45-54 
Switzerland,164911,30,Senior,7,Hybrid-Flexible,Higher Education,5000 - 9999,Large,Employed,Other,Professional,45-54 
Japan,19345,20,Senior,5,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Germany,119495,29,Senior,6,Hybrid-Flexible,Banking Services,5000 - 9999,Large,Employed,Developer,Masters,45-54 
Canada,65663,3,Mid,8,Remote,Banking Services,10000+,Large,Employed,Developer,Bachelors,18-24
Canada,58367,8,Mid,0,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Professional,25-34 
Pakistan,10133,6,Mid,7,Hybrid-InPerson,Software Development,1,Small,Self-employed,Developer,Primary school,18-24
Italy,52207,15,Mid,8,Hybrid-InPerson,Retail Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
France,48726,3,Mid,9,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Secondary school ,25-34 
France,92812,22,Senior,8,Flexible,Fintech,100 - 499,Medium,Employed,Architect,Masters,35-44
Germany,83531,8,Mid,10,Hybrid-InPerson,Healthcare,20 - 99 ,Small,Employed,Developer,Masters,18-24
Canada,43775,5,Mid,7,Hybrid-InPerson,Other,<20,Small,Employed,Developer,Bachelors,18-24
United Kingdom of Great Britain and Northern Ireland,163370,26,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,260,9,Mid,8,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
Netherlands,127616,20,Senior,6,Flexible,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,35-44
Brazil,70994,26,Senior,8,Flexible,Banking Services,100 - 499,Medium,Employed,Other,Masters,35-44
United States of America,200000,10,Mid,7,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
South Africa,214240,18,Senior,10,Hybrid-Flexible,Other,5000 - 9999,Large,Employed,Data/AI,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,163370,46,Senior,10,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,55-64
Belgium,81210,25,Senior,9,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
India,232479,15,Mid,10,Hybrid-Flexible,Software Development,10000+,Large,Employed,Manager,Bachelors,25-34 
Germany,69609,13,Mid,5,Hybrid-Flexible,Computer System Services,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Germany,98612,15,Mid,7,Hybrid-InPerson,Banking Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Bulgaria,35584,25,Senior,6,Remote,Computer System Services,1000 - 4999,Medium,Employed,Developer,Secondary school ,35-44
United States of America,99000,38,Senior,7,In-person,Manufacturing,20 - 99 ,Small,Employed,Developer,Bachelors,55-64
United States of America,240000,20,Senior,4,In-person,Fintech,10000+,Large,Employed,Developer,Bachelors,55-64
United States of America,150000,10,Mid,10,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
India,9299,3,Mid,1,In-person,Fintech,20 - 99 ,Small,Employed,Data/AI,Bachelors,18-24
United Kingdom of Great Britain and Northern Ireland,156563,11,Mid,9,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Canada,109438,20,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Manager,Bachelors,35-44
Sweden,115304,43,Senior,9,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Masters,45-54 
United States of America,160000,16,Senior,7,Hybrid-Flexible,Retail Services,10000+,Large,Employed,Developer,Bachelors,35-44
Costa Rica,7300,24,Senior,8,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Manager,Bachelors,35-44
United States of America,80,15,Mid,7,Hybrid-InPerson,Banking Services,<20,Small,Employed,Senior executive,Some college,25-34 
United States of America,230000,14,Mid,9,Remote,Energy,<20,Small,Employed,Developer,Bachelors,25-34 
Turkey,30297,9,Mid,9,In-person,Energy,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,175000,22,Senior,7,Remote,Energy,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
United States of America,104000,35,Senior,4,Flexible,Government,I don’t know,Unknown,Employed,Developer,Bachelors,55-64
United Kingdom of Great Britain and Northern Ireland,72155,10,Mid,9,Remote,Software Development,100 - 499,Medium,Self-employed,Developer,Secondary school ,18-24
United States of America,135000,15,Mid,5,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Canada,73688,15,Mid,4,Remote,Telecomm  Services,<20,Small,Employed,Developer,Associate,25-34 
Singapore,242148,21,Senior,7,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Secondary school ,35-44
Germany,52207,16,Senior,2,Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Germany,126456,14,Mid,3,Flexible,Software Development,<20,Small,Employed,Developer,Masters,25-34 
Germany,98612,28,Senior,7,Hybrid-InPerson,Manufacturing,10000+,Large,Employed,Developer,Masters,35-44
Ireland,201139,37,Senior,8,Flexible,Telecomm  Services,10000+,Large,Employed,Developer,Some college,45-54 
United States of America,250000,35,Senior,8,Remote,Banking Services,100 - 499,Medium,Employed,Manager,Secondary school ,35-44
United States of America,173250,14,Mid,8,Hybrid-Flexible,Media Services,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Philippines,43897,13,Mid,9,Hybrid-InPerson,Banking Services,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Spain,96524,14,Mid,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,25-34 
United States of America,205000,26,Senior,10,Remote,Banking Services,20 - 99 ,Small,Employed,Manager,Bachelors,35-44
Portugal,81210,23,Senior,6,Remote,Banking Services,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,120000,11,Mid,6,Remote,Insurance,10000+,Large,Employed,Developer,Associate,25-34 
United Kingdom of Great Britain and Northern Ireland,118443,10,Mid,7,Remote,Energy,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Russian Federation,1914,15,Mid,10,Hybrid-InPerson,Supply Chain,100 - 499,Medium,Employed,Developer,Some college,25-34 
India,116240,20,Senior,10,Remote,Supply Chain,<20,Small,Employed,Developer,Masters,25-34 
United States of America,300000,25,Senior,6,Remote,Computer System Services,1000 - 4999,Medium,Employed,Developer,Masters,35-44
Germany,104413,23,Senior,6,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
Canada,72958,11,Mid,7,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,195000,52,Senior,8,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,65+
Ireland,129936,25,Senior,8,Remote,Software Development,10000+,Large,Employed,Architect,Bachelors,35-44
United States of America,120000,12,Mid,7,Remote,Banking Services,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,175000,10,Mid,5,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
China,300000,7,Mid,10,Remote,Software Development,1,Small,Self-employed,Developer,Bachelors,18-24
Georgia,18000,6,Mid,2,Remote,Media Services,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
United States of America,120000,36,Senior,8,Hybrid-InPerson,Retail Services,5000 - 9999,Large,Employed,Developer,Some college,45-54 
Turkey,16664,5,Mid,5,Remote,Software Development,<20,Small,Student,Developer,Bachelors,18-24
United States of America,330000,12,Mid,10,Hybrid-InPerson,Software Development,10000+,Large,Employed,Data/AI,Masters,25-34 
Germany,55687,12,Mid,8,Hybrid-InPerson,Retail Services,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
France,185623,41,Senior,3,Remote,Software Development,100 - 499,Medium,Employed,Developer,Professional,45-54 
United Kingdom of Great Britain and Northern Ireland,176984,14,Mid,5,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Secondary school ,35-44
Italy,40605,12,Mid,3,Hybrid-Flexible,Banking Services,10000+,Large,Employed,Developer,Secondary school ,25-34 
Portugal,63808,25,Senior,9,Remote,Software Development,100 - 499,Medium,Employed,Architect,Some college,35-44
Portugal,15036,6,Mid,3,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Germany,104413,12,Mid,9,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
